Name,Classification,Preferred Term,URL,Related Term,Category,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Anatomy,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,Topic,A-Z,Age,Age,Age,Age,Age,Sex,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,Season,,,,Snomed Code,Confidence,Notes,Done
Acid and chemical burns,A,Acid and chemical burns,https://www.nhs.uk/conditions/acid-and-chemical-burns/,,Condition,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,All,,,,,,acid, alkaline, caustic chemicals, contamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,"No specific snomed entry for chemical or acid burns, only burns related to specific parts of the body, or cigarette or electrical burns. ",Done
Acne,A,Acne,https://www.nhs.uk/conditions/acne/,,Condition,Skin,,,,,,,,,,,,,,,,,Skin conditions,,,,,,,,,,checked,Children,Teenagers,All,,,,blackheads, whiteheads, papules, pustules, nodules, cysts, P. acnes, inflammation, pus, hormones, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11381005,High,,Done
Acne - Causes,A,Acne,https://www.nhs.uk/conditions/acne/causes/,,,Skin,,,,,,,,,,,,,,,,,Skin conditions,,,,,,,,,,,All,,,,,,hair follicles, sebaceous glands, sebum, non-comedogenic, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acne - Diagnosis,A,Acne,https://www.nhs.uk/conditions/acne/diagnosis/,,,Skin,,,,,,,,,,,,,,,,,Skin conditions,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acne - Treatment,A,Acne,https://www.nhs.uk/conditions/acne/treatment/,,Treatment,Skin,,,,,,,,,,,,,,,,,Skin conditions,,,,,,,,,,,All,,,,,,topical retinoids, azelaic acid, tretinoin, adapalene, photodynamic therapy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acne - Complications,A,Acne,https://www.nhs.uk/conditions/acne/complications/,,,Skin,,,,,,,,,,,,,,,,,Skin conditions,,,,,,,,,,,All,,,,,,ice pick scars, rolling scars, boxcar scars, ablative laser treatment, non-ablative laser treatment, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acoustic neuroma (vestibular schwannoma),A,Acoustic neuroma,https://www.nhs.uk/conditions/acoustic-neuroma/,Vestibular schwannoma,Condition,,,,,,,,,Brain,,,,,,,,,,,,,,,,,,,checked,Adults,,,,,,benign brain tumour, non-cancerous, hearing loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126949007,High,,Done
Acromegaly,A,Acromegaly,https://www.nhs.uk/conditions/acromegaly/,,Condition,Hand,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,checked,Adults,Teenagers,,,,,gigantism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74107003,High,,Done
Urine albumin to creatinine ratio (ACR),A,Urine albumin to creatinine ratio (ACR),https://www.nhs.uk/conditions/acr-test/,urine microalbumin,Procedure,,,,,,,,,Urine,,,,,,,,,Tests,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46716003,High,,Done
Actinic keratoses (solar keratoses),A,Actinic keratosis,https://www.nhs.uk/conditions/actinic-keratoses/,Solar keratoses,Condition,Skin,,,,,,,,,,,,,,,,,Skin conditions,,,,,,,,,,checked,All,,,,,,Cryotherapy, photodynamic therapy (PDT), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,403202002,High,,Done
Actinomycosis,A,Actinomycosis,https://www.nhs.uk/conditions/actinomycosis/,,Condition,Jaw,Mouth,,,,,,,Lung,Appendix,Uterus,,,,,,,Infections Illnesses & Diseases,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11817007,High,There are a lot of different snomed codes for the different anatomical variants of actinomycosis.,Done
Acupuncture,A,Acupuncture,https://www.nhs.uk/conditions/acupuncture/,,Treatment,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,All,,,,,,Chinese medicine, complementary medicine, alternative medicine, life force, Qi, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44868003,High,,Done
Acute cholecystitis,A,Acute cholecystitis,https://www.nhs.uk/conditions/acute-cholecystitis/,,Condition,,,,,,,,,Gallbladder,,,,,,,,,,,,,,,,,,,checked,All,,,,,,cystic duct, biliary colic, calculous cholecystitis, biliary sludge, acalculous cholecystitis, gangrenous cholecystitis, perforated gallbladder, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65275009,High,,Done
Acute kidney injury,A,Acute kidney injury,https://www.nhs.uk/conditions/acute-kidney-injury/,AKI,Condition,,,,,,,,,Kidney,,,,,,,,,,,,,,,,,,,checked,Older people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14669001,High,,Done
Acute lymphoblastic leukaemia,A,Acute lymphoblastic leukaemia,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/,,Condition,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,checked,Children,,,,,,red blood cells, white blood cells, platelets, anaemia, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128822004,High,,Done
Acute lymphoblastic leukaemia - Diagnosis,A,Acute lymphoblastic leukaemia,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/diagnosis/,,,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,Bone marrow biopsy, cytogenetic testing, immunophenotyping, polymerase chain reaction (PCR), Lymph node biopsy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute lymphoblastic leukaemia - Treatment,A,Acute lymphoblastic leukaemia,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/treatment/,,Treatment,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,chemotherapy, steroid therapy, targeted therapies, Philadelphia chromosome-positive acute lymphoblastic leukaemia, imatinib, dasatinib, ponatinib, stem cell transplant, bone marrow transplants, immunotherapy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute lymphoblastic leukaemia - Complications,A,Acute lymphoblastic leukaemia,https://www.nhs.uk/conditions/acute-lymphoblastic-leukaemia/complications/,,,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute myeloid leukaemia,A,Acute myeloid leukaemia,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/,AML,Condition,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,checked,All,,,,,,lymphocytes, myeloid cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91861009,High,,Done
Acute myeloid leukaemia - Symptoms,A,Acute myeloid leukaemia,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/symptoms/,,Symptom,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute myeloid leukaemia - Causes,A,Acute myeloid leukaemia,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/causes/,,,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,Radiation, Benzene, Fanconi's anaemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute myeloid leukaemia - Diagnosis,A,Acute myeloid leukaemia,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/diagnosis/,,,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,Bone marrow biopsy, lumbar puncture, genetic testing, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute myeloid leukaemia - Treatment,A,Acute myeloid leukaemia,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/treatment/,,Treatment,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,all tans retinoic acid (ATRA), arsenic trioxide, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute myeloid leukaemia - Complications,A,Acute myeloid leukaemia,https://www.nhs.uk/conditions/acute-myeloid-leukaemia/complications/,,,,,,,,,,,Blood,Bone marrow,,,,,,,,Cancer,Leukaemia,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute pancreatitis,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/,,Condition,,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197456007,High,,Done
Acute pancreatitis - Symptoms,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/symptoms/,,Symptom,Abdomen,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute pancreatitis - Causes,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/causes/,,,,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,All,,,,,,Alcohol consumption, gallstones, autoimmune pancreatitis, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute pancreatitis - Diagnosis,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/diagnosis/,,,,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute pancreatitis - Treatment,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/treatment/,,Treatment,,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute pancreatitis - Complications,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/complications/,,,,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,All,,,,,,pseudocysts, pancreatic necrosis, chronic pancreatitis, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute pancreatitis - Prevention,A,Acute pancreatitis,https://www.nhs.uk/conditions/acute-pancreatitis/prevention/,,,,,,,,,,,Pancreas,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Acute respiratory distress syndrome,A,Acute respiratory distress syndrome,https://www.nhs.uk/conditions/acute-respiratory-distress-syndrome/,ARDS,Condition,,,,,,,,,Lung,,,,,,,,,Breathing and Respiratory health,,,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67782005,High,,Done
Addison's disease,A,Addisons disease,https://www.nhs.uk/conditions/addisons-disease/,Hypoadrenalism,Condition,,,,,,,,,Adrenal glands,,,,,,,,,,,,,,,,,,,checked,Adults,,,,,,primary adrenal insufficiency, adrenal cortex, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363732003,High,,Done
Addison's disease - Symptoms,A,Addisons disease,https://www.nhs.uk/conditions/addisons-disease/symptoms/,Adrenal crisis,Symptom,,,,,,,,,Adrenal glands,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Addison's disease - Causes,A,Addisons disease,https://www.nhs.uk/conditions/addisons-disease/causes/,,,,,,,,,,,Adrenal glands,,,,,,,,,,,,,,,,,,,,All,,,,,,secondary adrenal insufficiency, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Addison's disease - Diagnosis,A,Addisons disease,https://www.nhs.uk/conditions/addisons-disease/diagnosis/,,,,,,,,,,,Adrenal glands,,,,,,,,,,,,,,,,,,,,All,,,,,,synacthen stimulation test, adrenocorticotrophic hormone (ACTH), cortisol, aldosterone, thyroid function test, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Addison's disease - Treatment,A,Addisons disease,https://www.nhs.uk/conditions/addisons-disease/treatment/,,Treatment,,,,,,,,,Adrenal glands,,,,,,,,,,,,,,,,,,,,All,,,,,,hydrocortisone, cortisol, prednisolone, dexamethasone, fludrocortisone, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Adenoids and adenoidectomy,A,Adenoids and adenoidectomy,https://www.nhs.uk/conditions/adenoids-and-adenoidectomy/,,Procedure,,,,,,,,,Tonsils,,,,,,,,,,,,,,,,,,,checked,Children,,,,,,adenotonsillectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119954001,High,,Done
Age-related macular degeneration (AMD) - What is AMD?,A,Age-related macular degeneration (AMD),https://www.nhs.uk/conditions/age-related-macular-degeneration-amd/,,Condition,Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,Older people,,,,,,dry AMD, wet AMD, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267718000,High,,Done
Age-related macular degeneration (AMD) - Symptoms,A,Age-related macular degeneration (AMD),https://www.nhs.uk/conditions/age-related-macular-degeneration-amd/symptoms/,,Symptom,Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Age-related macular degeneration (AMD) - Getting diagnosed,A,Age-related macular degeneration (AMD),https://www.nhs.uk/conditions/age-related-macular-degeneration-amd/getting-diagnosed/,,,Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,optometrist, ophthalmologist, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Age-related macular degeneration (AMD) - Treatments,A,Age-related macular degeneration (AMD),https://www.nhs.uk/conditions/age-related-macular-degeneration-amd/treatment/,,Treatment,Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,anti-VEGF medicines - ranibizumab, Lucentis, aflibercept, Eylea, brolucizumab, Beovu, photodynamic therapy (PDT), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Age-related macular degeneration (AMD) - Living with AMD,A,Age-related macular degeneration (AMD),https://www.nhs.uk/conditions/age-related-macular-degeneration-amd/living-with-amd/,,,Eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Air or gas embolism,A,Air embolism,https://www.nhs.uk/conditions/air-embolism/,gas embolism,Condition,,,,,,,,,Blood vessels,,,,,,,,,,,,,,,,,,,checked,All,,,,,,the bends, pulmonary barotrauma, arterial gas embolism, diving medicine, hyperbaric chamber, scuba diving, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302968001,High,,Done
Albinism,A,Albinism,https://www.nhs.uk/conditions/albinism/,,Condition,Skin,Hair,Eye,,,,,,,,,,,,,,,,,,,,,,,,,checked,All,,,,,,melanin, photophobia, nystagmus, oculocutaneous albinism (OCA), ocular albinism (OA), x-linked inheritance pattern, squint, lazy eye, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15890002,High,,Done
Alcohol misuse,A,Alcohol misuse,https://www.nhs.uk/conditions/alcohol-misuse/,,Condition,,,,,,,,,,,,,,,,,,Healthy Living,Addiction,,,,,,,,,checked,Adults,,,,,,Alcohol addiction, alcoholic, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15167005,High,,Done
Alcohol misuse - Risks,A,Alcohol misuse,https://www.nhs.uk/conditions/alcohol-misuse/risks/,,,,,,,,,,,Liver,Brain,Heart,Bones,Pancreas,,,,,Healthy Living,Addiction,,,,,,,,,,All,,,,,,Kindling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Alcohol misuse - Treatment,A,Alcohol misuse,https://www.nhs.uk/conditions/alcohol-misuse/treatment/,,Treatment,,,,,,,,,,,,,,,,,,Healthy Living,Addiction,,,,,,,,,,All,,,,,,abstinence, moderation, detox, acamprosate, disulfiram, naltrexone, nalmefene, Campral, gamma-amino-butyric acid (GABA), Antabuse, Selincro, Alcoholics Anonymous (AA), 12 steps, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Alcohol poisoning,A,Alcohol poisoning,https://www.nhs.uk/conditions/alcohol-poisoning/,,Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,Adults,,,,,,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82782008,High,,Done
Alcohol-related liver disease,A,Alcohol-related liver disease,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/,ARLD,Condition,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,checked,Adults,,,,,,Alcoholic fatty liver disease, alcoholic hepatitis, cirrhosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41309000,High,,Done
Symptoms of alcohol-related liver disease,A,Alcohol-related liver disease,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/symptoms/,,Symptom,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,Adults,,,,,,CAGE test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Causes of alcohol-related liver disease,A,Alcohol-related liver disease,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/causes/,,,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,Adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Diagnosing alcohol-related liver disease,A,Alcohol-related liver disease,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/diagnosis/,,,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,Adults,,,,,,Liver biopsy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Treating alcohol-related liver disease,A,Alcohol-related liver disease,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/treatment/,,Treatment,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,Adults,,,,,,acamprosate, disulfiram, naltrexone, corticosteroids, pentoxifylline, anabolic steroids, ropylthiouracil, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Complications of alcohol-related liver disease,A,Alcohol-related liver disease,https://www.nhs.uk/conditions/alcohol-related-liver-disease-arld/complications/,,,,,,,,,,,Liver,,,,,,,,,,,,,,,,,,,,Adults,,,,,,portal hypertension, ascites, paracentesis, peritonitis, hepatic encephalopathy, liver cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
Alexander technique,A,Alexander technique,https://www.nhs.uk/conditions/alexander-technique/,,Treatment,Back,Neck,Shoulder,,,,,,Spine,,,,,,,,,Back pain,Bone Health,Preventative healthcare,,,,,,,,checked,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876850004,High,,Done
Alkaptonuria,A,Alkaptonuria,https://www.nhs.uk/conditions/alkaptonuria/,Black urine disease,Condition,,,,,,,,,Urine,,,,,,,,,Genetic conditions,,,,,,,,,,checked,All,,,,,,tyrosine, phenylalanine, homogentisic acid, enzyme, ochronosis, osteoarthritis, HGD gene, chromosomes, Nitisinone, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360378009,High,,Done
Allergic rhinitis,A,Allergic rhinitis,https://www.nhs.uk/conditions/allergic-rhinitis/,,Condition,Nose,,,,,,,,,,,,,,,,,Allergies,,,,,,,,,,checked,All,,,,,,pollen, dust, mould, dander, animal skin, non-allergic rhinitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,Summer,,,61582004,High,,Done
Allergic rhinitis - Causes,A,Allergic rhinitis,https://www.nhs.uk/conditions/allergic-rhinitis/causes/,,,Nose,,,,,,,,,,,,,,,,,Allergies,,,,,,,,,,,All,,,,,,oversensitive immune system, immunoglobulin E (IgE), histamine, mucous membrane, house dust mites, pollen, spores, cats, dogs, latex, atopic, atopy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,Summer,Autumn,Winter,,,,Done
